team,stats_team,region,seed,slot,play_in,play_in_group,games,win_pct,ppg,opp_ppg,scoring_margin,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,srs,sos,pace,off_rtg,ts_pct,trb_pct,ast_pct,efg_pct,tov_pct,orb_pct,power_rating
McNeese State,McNeese,South,12,R64_S3,False,,33,84.8,80.0,66.5,13.5,46.75,31.93,74.74,35.21,14.2,9.6,1.47,7.74,-2.06,67.3,117.6,56.3,51.1,50.3,52.300000000000004,11.9,36.4,100.53848856246371
Troy,Troy,South,13,R64_S4,False,,33,66.7,80.3,73.1,7.200000000000003,44.94,33.48,73.79,38.3,16.0,11.9,1.34,-0.76,-4.57,68.1,113.5,56.2,52.4,58.2,52.6,14.3,35.3,88.63162784328134
Penn,Penn,South,14,R64_S6,False,,29,62.1,76.1,73.3,2.799999999999997,44.02,38.61,69.34,36.41,14.0,10.8,1.29,-0.5,-1.72,69.4,108.8,54.0,50.2,52.9,50.7,13.3,31.2,82.9145945725065
Idaho,Idaho,South,15,R64_S8,False,,35,60.0,78.7,72.6,6.1000000000000085,44.83,35.58,73.49,37.4,12.5,10.6,1.19,-0.05,-2.7,69.6,112.7,56.49999999999999,53.1,46.7,53.1,13.2,30.0,87.13919236099193
Lehigh,Lehigh,South,16,R64_S1,True,S16,34,52.9,73.2,74.0,-0.7999999999999972,46.41,35.94,73.1,31.85,14.3,12.1,1.18,-9.32,-7.04,67.1,105.7,56.49999999999999,47.1,55.0,53.400000000000006,15.8,23.6,72.94670383429202
Prairie View A&M,Prairie View,South,16,R64_S1,True,S16,35,51.4,78.9,76.1,2.8000000000000114,44.34,33.44,75.33,33.97,11.9,11.9,1.0,-12.74,-9.93,73.8,106.4,54.50000000000001,47.4,44.8,49.5,14.1,28.0,73.0465830418523
Arizona,Arizona,West,1,R64_W1,False,,34,94.1,86.1,68.8,17.299999999999997,50.22,36.04,73.39,42.53,16.9,10.8,1.57,29.92,12.57,71.3,120.3,58.8,57.3,55.4,55.1,12.9,38.1,118.33552114347405
Purdue,Purdue,West,2,R64_W8,False,,35,77.1,81.7,70.1,11.600000000000009,49.86,37.92,74.29,35.43,19.9,8.9,2.25,25.64,14.13,65.3,124.7,60.099999999999994,55.5,66.8,57.599999999999994,11.5,36.3,117.1286993527789
Gonzaga,Gonzaga,West,3,R64_W6,False,,33,90.9,85.1,66.0,19.099999999999994,51.0,33.95,69.89,39.91,18.3,9.7,1.9,25.11,5.98,70.4,120.5,58.5,55.4,56.7,56.3,11.7,34.8,118.3616101090264
Arkansas,Arkansas,West,4,R64_W4,False,,34,76.5,89.9,80.1,9.800000000000011,50.0,38.87,74.69,36.09,17.0,9.0,1.89,22.43,12.57,72.4,122.5,59.699999999999996,51.1,53.0,56.49999999999999,10.7,32.2,112.00424423716706
Wisconsin,Wisconsin,West,5,R64_W3,False,,34,70.6,83.0,75.9,7.099999999999994,44.97,36.1,78.57,35.5,16.0,8.9,1.79,19.52,12.44,68.8,118.8,58.199999999999996,50.5,57.3,54.50000000000001,11.1,29.4,103.08303835049149
BYU,BYU,West,6,R64_W5,False,,34,67.6,83.9,75.3,8.600000000000009,47.71,34.92,74.55,38.29,13.5,10.9,1.24,21.04,12.45,70.5,118.7,57.99999999999999,52.8,45.4,54.7,13.0,34.6,101.2013495321386
Miami (Fla.),Miami (FL),West,7,R64_W7,False,,33,75.8,81.9,71.1,10.800000000000011,50.1,34.72,68.51,37.3,16.1,11.2,1.44,18.04,7.28,69.3,118.2,58.099999999999994,55.6,53.7,55.60000000000001,13.7,37.0,103.8614028399159
