team,ppg,opp_ppg,fg_pct,three_pt_pct,ft_pct,reb_pg,ast_pg,to_pg,ast_to_ratio,games,win_pct
Southern Ind.,68.7,73.7,38.63,30.97,65.56,37.5,10.3,12.0,0.86,30,23.3
Southern Miss.,74.7,73.9,45.13,29.98,73.34,36.69,11.5,12.9,0.89,35,54.3
Southern U.,79.6,77.9,45.33,34.9,69.82,35.56,15.0,11.9,1.26,34,50.0
Southern Utah,76.3,79.5,46.07,34.25,72.2,35.88,14.0,14.2,0.99,32,31.2
St. Bonaventure,76.4,74.5,46.76,37.38,74.38,35.26,15.7,11.4,1.37,34,50.0
St. John's (NY),81.6,70.0,45.39,33.24,72.75,38.65,16.3,10.5,1.55,34,82.4
St. Thomas (MN),82.7,71.7,50.97,36.47,68.07,33.39,17.1,9.4,1.81,33,72.7
Stanford,76.0,72.7,43.85,35.59,73.13,33.72,11.9,10.6,1.13,32,62.5
Stetson,73.7,79.7,45.64,36.3,68.14,32.82,15.3,12.5,1.22,33,36.4
Stonehill,66.4,68.6,41.46,32.21,68.58,37.58,12.5,13.0,0.96,33,36.4
Stony Brook,71.7,71.2,42.44,34.94,72.23,34.72,13.2,11.2,1.18,32,53.1
Syracuse,75.0,74.2,46.48,32.86,64.8,34.16,12.8,11.0,1.16,32,46.9
TCU,78.3,72.1,44.8,33.11,70.8,36.18,15.6,10.9,1.43,33,66.7
Tarleton St.,74.5,73.4,45.04,32.24,74.47,32.88,11.2,14.3,0.78,32,43.8
Temple,73.9,70.8,44.67,33.8,74.69,33.66,12.3,9.0,1.37,32,50.0
Tennessee,79.5,69.4,46.26,33.44,69.4,42.58,16.9,11.7,1.45,33,66.7
Tennessee St.,80.5,73.3,45.96,33.12,76.51,38.0,13.2,12.2,1.08,32,71.9
Tennessee Tech,73.3,74.5,44.32,31.49,75.9,36.19,12.2,13.3,0.92,31,41.9
Texas,83.8,76.8,48.6,35.32,75.21,37.66,12.3,11.0,1.12,32,56.2
Texas A&M,87.7,79.6,45.81,36.19,73.7,37.72,18.1,10.8,1.67,32,65.6
Texas Southern,75.0,78.0,45.01,32.86,71.66,35.63,11.3,13.6,0.83,30,40.0
Texas St.,73.9,71.0,46.86,32.97,75.86,35.69,13.1,12.7,1.03,32,59.4
Texas Tech,80.4,72.6,46.75,39.34,71.46,36.94,15.8,10.8,1.47,32,68.8
The Citadel,70.4,77.5,42.33,32.74,67.27,32.94,12.8,10.4,1.23,33,33.3
Toledo,81.0,76.6,48.94,36.55,75.89,33.97,16.1,10.2,1.58,34,55.9
Towson,69.2,66.1,42.31,30.35,69.47,39.18,10.2,10.3,0.99,34,55.9
Troy,80.3,73.1,44.94,33.48,73.79,38.3,16.0,11.9,1.34,33,66.7
Tulane,72.4,75.5,42.3,32.06,76.63,31.12,12.8,10.7,1.2,33,54.5
Tulsa,85.6,72.9,47.67,38.76,78.07,38.0,15.6,10.5,1.49,33,78.8
UAB,79.2,73.8,44.33,28.14,70.49,39.94,14.3,8.9,1.61,32,62.5
UAlbany,72.0,72.9,46.82,33.48,66.08,34.38,13.9,12.2,1.14,32,34.4
UC Davis,77.6,75.1,44.61,34.76,75.0,33.24,15.5,12.8,1.21,33,57.6
UC Irvine,77.4,68.4,46.44,34.03,69.22,40.38,16.1,12.7,1.26,34,67.6
UC Riverside,72.9,77.9,43.27,32.32,74.26,34.72,12.7,13.1,0.97,32,31.2
UC San Diego,75.7,70.3,45.77,33.1,69.49,36.94,15.1,11.4,1.32,34,67.6
UC Santa Barbara,77.6,72.8,46.82,37.29,76.26,35.09,14.2,12.8,1.11,32,56.2
UCF,81.0,78.5,46.6,36.17,73.95,37.19,15.8,11.2,1.41,32,65.6
UCLA,77.7,71.0,47.08,38.2,76.68,32.29,16.3,8.9,1.84,34,67.6
UConn,77.5,65.1,48.24,35.2,71.57,36.56,18.4,11.2,1.64,34,85.3
UIC,75.5,70.0,45.46,32.26,72.98,36.38,14.5,12.0,1.21,34,55.9
UIW,74.3,73.7,44.7,37.68,71.6,34.26,11.7,11.2,1.05,31,38.7
ULM,72.4,83.9,41.31,31.87,73.12,32.41,12.2,12.1,1.01,32,12.5
UMBC,76.2,67.0,47.13,36.12,76.21,35.47,12.2,9.6,1.27,32,75.0
UMES,64.4,70.8,44.43,29.97,71.74,32.5,13.5,15.8,0.85,32,28.1
UMass Lowell,74.9,76.3,46.06,32.23,66.67,37.45,12.5,12.2,1.02,33,45.5
UNC Asheville,73.4,72.9,45.56,34.91,68.73,34.81,11.0,12.1,0.91,32,46.9
UNC Greensboro,78.6,80.5,45.84,36.05,70.7,35.41,12.8,10.2,1.26,34,44.1
UNCW,77.0,67.7,44.56,35.7,68.67,39.97,13.5,10.0,1.35,32,81.2
UNI,69.9,61.3,47.68,35.46,69.86,31.94,15.0,9.3,1.61,35,65.7
UNLV,79.4,78.6,47.0,34.86,68.72,35.0,14.2,12.1,1.18,33,51.5
USC Upstate,74.2,73.7,44.05,32.81,68.5,36.78,12.8,12.5,1.03,32,40.6
UT Arlington,70.0,66.7,43.69,29.07,71.85,37.09,11.7,13.9,0.84,32,56.2
UT Martin,69.8,63.2,42.07,30.42,67.74,39.91,13.6,14.4,0.94,33,66.7
UTEP,69.3,72.4,42.68,33.78,69.98,32.55,11.7,11.7,1.01,31,35.5
UTRGV,75.9,69.5,47.39,37.44,76.23,34.91,16.5,12.1,1.37,33,57.6
UTSA,69.5,80.7,39.84,29.72,69.07,36.23,10.9,12.0,0.91,30,16.7
Utah,74.3,79.1,45.42,35.29,73.77,33.59,13.7,11.4,1.2,32,31.2
Utah St.,82.5,70.4,49.85,35.82,70.71,34.59,17.6,10.6,1.66,34,82.4
Utah Tech,76.8,74.9,47.31,34.73,72.96,33.97,14.6,12.4,1.19,34,55.9
Utah Valley,80.2,68.5,50.28,34.21,69.24,36.67,18.4,14.1,1.31,33,75.8
VCU,81.6,71.5,46.05,36.69,73.93,36.68,14.1,10.5,1.34,34,79.4
